"Time","Cosmos_Bonded_Ratio{instance=""localhost:8003"", job=""cosmos"", v=""cosmos_amount_bonded_ratio""}"
2024-02-17 23:00:00,65.31%
2024-02-18 23:00:00,65.24%
2024-02-19 23:00:00,65.35%
2024-02-20 23:00:00,65.29%
2024-02-21 23:00:00,65.00%
2024-02-22 23:00:00,64.99%
2024-02-23 23:00:00,65.06%
2024-02-24 23:00:00,65.09%
2024-02-25 23:00:00,65.01%
2024-02-26 23:00:00,64.86%
2024-02-27 23:00:00,64.82%
2024-02-28 23:00:00,64.82%
2024-02-29 23:00:00,64.58%
2024-03-01 23:00:00,64.55%
2024-03-02 23:00:00,64.55%
2024-03-05 23:00:00,64.29%
2024-03-06 23:00:00,63.93%
2024-03-07 23:00:00,63.53%
2024-03-08 23:00:00,63.42%
2024-03-09 23:00:00,63.38%
2024-03-10 23:00:00,63.37%
2024-03-11 23:00:00,63.33%
2024-03-12 23:00:00,63.15%
2024-03-13 23:00:00,63.14%
2024-03-14 23:00:00,62.90%
2024-03-15 23:00:00,62.91%
2024-03-16 23:00:00,62.83%
2024-03-17 23:00:00,62.85%
2024-03-18 23:00:00,62.85%
2024-03-19 23:00:00,62.67%
2024-03-21 23:00:00,62.07%
2024-03-22 23:00:00,62.16%
2024-03-23 23:00:00,62.64%
2024-03-24 23:00:00,62.55%
2024-03-25 23:00:00,62.57%
2024-03-26 23:00:00,62.57%
2024-03-27 23:00:00,62.36%
2024-03-28 23:00:00,62.49%
2024-03-29 23:00:00,62.47%
2024-03-30 23:00:00,62.46%
2024-04-01 00:00:00,62.56%
2024-04-02 00:00:00,62.47%
2024-04-03 00:00:00,62.41%
2024-04-04 00:00:00,62.32%
2024-04-05 00:00:00,62.54%
2024-04-06 00:00:00,62.56%
2024-04-07 00:00:00,62.53%
2024-04-08 00:00:00,62.54%
2024-04-09 00:00:00,62.55%
2024-04-10 00:00:00,62.54%
2024-04-11 00:00:00,62.56%
2024-04-12 00:00:00,62.46%
2024-04-13 00:00:00,62.58%
2024-04-14 00:00:00,62.58%
2024-04-15 00:00:00,62.58%
2024-04-16 00:00:00,62.58%
2024-04-17 00:00:00,62.95%
2024-04-18 00:00:00,62.88%
2024-04-19 00:00:00,63.03%
2024-04-20 00:00:00,63.07%
2024-04-21 00:00:00,63.00%
2024-04-22 00:00:00,63.07%
2024-04-23 00:00:00,63.14%
2024-04-24 00:00:00,63.18%
2024-04-25 00:00:00,63.06%
2024-04-26 00:00:00,63.13%
2024-04-27 00:00:00,63.07%
2024-04-28 00:00:00,62.77%
2024-04-29 00:00:00,63.13%
2024-04-30 00:00:00,63.10%
2024-05-01 00:00:00,62.81%
2024-05-02 00:00:00,62.98%
2024-05-03 00:00:00,62.95%
2024-05-04 00:00:00,62.86%
2024-05-05 00:00:00,62.90%
2024-05-06 00:00:00,62.90%
2024-05-07 00:00:00,63.08%
2024-05-08 00:00:00,62.98%
2024-05-09 00:00:00,63.11%
2024-05-10 00:00:00,63.19%
2024-05-11 00:00:00,63.13%
2024-05-12 00:00:00,63.19%
2024-05-13 00:00:00,63.07%
2024-05-14 00:00:00,63.21%
2024-05-15 00:00:00,63.22%
2024-05-16 00:00:00,62.90%
2024-05-17 00:00:00,62.89%
2024-05-18 00:00:00,62.82%
2024-05-19 00:00:00,62.93%
