avg_price,time
3.515277777777762,2024-05-09 00:00:00.000 UTC
3.511597222222247,2024-05-08 00:00:00.000 UTC
3.514618055555605,2024-05-07 00:00:00.000 UTC
3.5857638888888808,2024-05-06 00:00:00.000 UTC
3.6154166666666767,2024-05-05 00:00:00.000 UTC
3.658958333333299,2024-05-04 00:00:00.000 UTC
3.6094444444444256,2024-05-03 00:00:00.000 UTC
3.5103125000000293,2024-05-02 00:00:00.000 UTC
3.4481597222222176,2024-05-01 00:00:00.000 UTC
3.543576388888899,2024-04-30 00:00:00.000 UTC
3.796145833333335,2024-04-29 00:00:00.000 UTC
3.9843055555555558,2024-04-28 00:00:00.000 UTC
3.8368750000000085,2024-04-27 00:00:00.000 UTC
3.820624999999974,2024-04-26 00:00:00.000 UTC
3.8199305555555334,2024-04-25 00:00:00.000 UTC
4.01180555555555,2024-04-24 00:00:00.000 UTC
4.021979166666665,2024-04-23 00:00:00.000 UTC
4.019826388888877,2024-04-22 00:00:00.000 UTC
3.9557291666666408,2024-04-21 00:00:00.000 UTC
3.8966319444444326,2024-04-20 00:00:00.000 UTC
3.856979166666687,2024-04-19 00:00:00.000 UTC
3.7908333333333575,2024-04-18 00:00:00.000 UTC
3.813506944444455,2024-04-17 00:00:00.000 UTC
3.851562500000009,2024-04-16 00:00:00.000 UTC
3.998402777777775,2024-04-15 00:00:00.000 UTC
3.8290625000000102,2024-04-14 00:00:00.000 UTC
4.071909722222216,2024-04-13 00:00:00.000 UTC
4.6592361111111185,2024-04-12 00:00:00.000 UTC
4.905625000000027,2024-04-11 00:00:00.000 UTC
4.810277777777784,2024-04-10 00:00:00.000 UTC
4.960312500000005,2024-04-09 00:00:00.000 UTC
4.939062500000002,2024-04-08 00:00:00.000 UTC
4.76378472222222,2024-04-07 00:00:00.000 UTC
4.713784722222207,2024-04-06 00:00:00.000 UTC
4.661597222222215,2024-04-05 00:00:00.000 UTC
4.71552083333333,2024-04-04 00:00:00.000 UTC
4.673402777777775,2024-04-03 00:00:00.000 UTC
4.735659722222231,2024-04-02 00:00:00.000 UTC
5.050451388888879,2024-04-01 00:00:00.000 UTC
5.160868055555528,2024-03-31 00:00:00.000 UTC
5.066319444444468,2024-03-30 00:00:00.000 UTC
5.1207986111111365,2024-03-29 00:00:00.000 UTC
5.150312499999986,2024-03-28 00:00:00.000 UTC
5.202916666666637,2024-03-27 00:00:00.000 UTC
5.238333333333342,2024-03-26 00:00:00.000 UTC
5.035937499999961,2024-03-25 00:00:00.000 UTC
4.803784722222239,2024-03-24 00:00:00.000 UTC
4.78652777777781,2024-03-23 00:00:00.000 UTC
4.83930555555554,2024-03-22 00:00:00.000 UTC
