glp_aum,glp_aum_arbi,glp_aum_avax,glp_aum_m,glp_aum_m_arbi,glp_aum_m_avax,glp_avax_apr,glp_avax_aprp,glp_eth_apr,glp_eth_aprp,time_day
440255095.99965215,384330132.4817234,55924963.517928705,440.25509599965216,384.3301324817234,55.9249635179287,0.08084258546682015,8.084258546682015,0.022631256256010902,2.26312562560109,2023-08-19 00:00:00.000 UTC
436517910.2937232,382129528.03931266,54388382.254410535,436.5179102937232,382.1295280393127,54.38838225441054,0.08374023698287329,8.37402369828733,0.022852985624970533,2.2852985624970534,2023-08-20 00:00:00.000 UTC
434771167.08145326,380960546.33020216,53810620.7512511,434.77116708145326,380.96054633020213,53.8106207512511,0.08256481597522526,8.256481597522527,0.02291900201348375,2.291900201348375,2023-08-21 00:00:00.000 UTC
432076540.04615295,378637608.55108976,53438931.495063215,432.07654004615296,378.6376085510898,53.438931495063215,0.07987376818410587,7.987376818410587,0.022770966963900383,2.2770966963900383,2023-08-22 00:00:00.000 UTC
432095854.4104222,379006623.7135234,53089230.696898825,432.0958544104222,379.00662371352337,53.089230696898824,0.10547392082785581,10.547392082785581,0.13237725358647637,13.237725358647637,2023-08-23 00:00:00.000 UTC
434054493.7623328,381300948.10285324,52753545.65947957,434.0544937623328,381.3009481028532,52.75354565947957,0.10595983599023859,10.595983599023858,0.13238876292794155,13.238876292794155,2023-08-24 00:00:00.000 UTC
432606928.88276696,380303330.77401334,52303598.10875361,432.60692888276697,380.3033307740133,52.303598108753604,0.10482123477640126,10.482123477640126,0.1318215800771903,13.18215800771903,2023-08-25 00:00:00.000 UTC
433081535.9208667,380892745.927235,52188789.99363174,433.0815359208667,380.892745927235,52.188789993631744,0.10532488247349785,10.532488247349784,0.13140706995883172,13.140706995883173,2023-08-26 00:00:00.000 UTC
434751424.5296961,382511894.2054539,52239530.32424222,434.7514245296961,382.51189420545387,52.23953032424222,0.10640418711323747,10.640418711323747,0.13096606644831096,13.096606644831096,2023-08-27 00:00:00.000 UTC
435200549.9451756,383047268.2850215,52153281.660154104,435.20054994517557,383.04726828502146,52.15328166015411,0.10669840033627802,10.669840033627802,0.13045376046936427,13.045376046936427,2023-08-28 00:00:00.000 UTC
441799327.0368664,389221638.4989245,52577688.53794191,441.79932703686643,389.2216384989245,52.57768853794191,0.1103476577222547,11.03476577222547,0.1309895657472771,13.09895657472771,2023-08-29 00:00:00.000 UTC
444552697.298464,391875383.8814697,52677313.41699429,444.552697298464,391.8753838814697,52.67731341699429,0.0325496971695889,3.25496971695889,0.046649324189753635,4.664932418975363,2023-08-30 00:00:00.000 UTC
438755050.0733432,386281309.51995033,52473740.5533929,438.7550500733432,386.28130951995036,52.4737405533929,0.03184275195789887,3.1842751957898865,0.04662639938101882,4.662639938101882,2023-08-31 00:00:00.000 UTC
432370687.0897704,380717240.68926346,51653446.400506906,432.3706870897704,380.71724068926346,51.65344640050691,0.031419810763421555,3.1419810763421556,0.04593695783654694,4.593695783654694,2023-09-01 00:00:00.000 UTC
431911554.05190367,380435052.5729559,51476501.47894776,431.9115540519037,380.4350525729559,51.47650147894776,0.031269687960293516,3.1269687960293515,0.04581888946709599,4.581888946709599,2023-09-02 00:00:00.000 UTC
433093865.8729157,381747634.10259527,51346231.770320415,433.09386587291567,381.74763410259527,51.346231770320415,0.03144104220347343,3.1441042203473426,0.04571450748782197,4.571450748782198,2023-09-03 00:00:00.000 UTC
433501030.7604094,382357578.0431937,51143452.71721574,433.50103076040944,382.3575780431937,51.14345271721574,0.031482821504100034,3.1482821504100036,0.045574579825069884,4.557457982506988,2023-09-04 00:00:00.000 UTC
431552822.38901794,380991927.47611994,50560894.91289798,431.55282238901793,380.99192747611994,50.56089491289798,0.0316872803076692,3.16872803076692,0.0456394815475621,4.56394815475621,2023-09-05 00:00:00.000 UTC
430049767.47015417,380701172.1024604,49348595.36769378,430.04976747015417,380.70117210246036,49.34859536769378,0.09853503387045934,9.853503387045933,0.037094993163501976,3.7094993163501977,2023-09-06 00:00:00.000 UTC
429267374.0365676,379929218.5226729,49338155.51389474,429.2673740365676,379.9292185226729,49.33815551389473,0.09898835507106822,9.898835507106822,0.03727508860297158,3.727508860297158,2023-09-07 00:00:00.000 UTC
429525198.78135777,380116965.84860164,49408232.93275615,429.52519878135774,380.11696584860164,49.40823293275615,0.09907077312312298,9.907077312312298,0.03730157654282173,3.7301576542821726,2023-09-08 00:00:00.000 UTC
428055220.3478311,378912622.8856324,49142597.46219866,428.0552203478311,378.9126228856324,49.14259746219866,0.09863818688226725,9.863818688226726,0.037348277392005504,3.7348277392005502,2023-09-09 00:00:00.000 UTC
425177758.45870125,376340965.2150395,48836793.24366174,425.17775845870125,376.3409652150395,48.83679324366174,0.09594346339924621,9.594346339924622,0.037355228911687244,3.735522891168724,2023-09-10 00:00:00.000 UTC
420667304.5062911,372597385.58046883,48069918.92582227,420.6673045062911,372.5973855804688,48.06991892582227,0.09504370492645613,9.504370492645613,0.03681835919579485,3.681835919579485,2023-09-11 00:00:00.000 UTC
422509542.17557496,375691160.3945396,46818381.78103536,422.50954217557495,375.6911603945396,46.81838178103536,0.0976756113187722,9.767561131877219,0.036620933225918764,3.6620933225918764,2023-09-12 00:00:00.000 UTC
426525802.5432621,379663343.7046219,46862458.83864021,426.5258025432621,379.6633437046219,46.862458838640215,0.05154347085459759,5.154347085459759,0.036978830644211466,3.6978830644211467,2023-09-13 00:00:00.000 UTC
434401094.9986927,388088724.233122,46312370.765570715,434.4010949986927,388.088724233122,46.31237076557071,0.05271138121728191,5.271138121728191,0.03676804920781135,3.6768049207811346,2023-09-14 00:00:00.000 UTC
437929127.82670045,391613763.4021101,46315364.424590334,437.92912782670044,391.6137634021101,46.315364424590335,0.05267355145899396,5.267355145899396,0.0364878279062888,3.6487827906288803,2023-09-15 00:00:00.000 UTC
437787545.2768744,391406383.8083107,46381161.46856373,437.7875452768744,391.4063838083107,46.381161468563725,0.05321677602814994,5.321677602814994,0.036738545344321485,3.6738545344321487,2023-09-16 00:00:00.000 UTC
434965787.8306217,389009653.3549069,45956134.47571478,434.9657878306217,389.0096533549069,45.956134475714784,0.05239125782713018,5.239125782713018,0.03676422637370808,3.676422637370808,2023-09-17 00:00:00.000 UTC
436961891.13058156,391008548.595591,45953342.53499054,436.96189113058153,391.008548595591,45.95334253499054,0.05198974483991595,5.198974483991595,0.03683286180221115,3.683286180221115,2023-09-18 00:00:00.000 UTC
437564970.3011376,391700752.285973,45864218.01516461,437.56497030113763,391.700752285973,45.86421801516462,0.05225825882977009,5.225825882977009,0.0368129462970023,3.6812946297002296,2023-09-19 00:00:00.000 UTC
436327880.68278027,390734116.2207406,45593764.46203968,436.3278806827803,390.7341162207406,45.59376446203968,0.03407809694551898,3.4078096945518976,0.02046072087507003,2.0460720875070026,2023-09-20 00:00:00.000 UTC
429956559.5467388,384719626.8771585,45236932.669580296,429.9565595467388,384.71962687715853,45.2369326695803,0.03375903131603239,3.375903131603239,0.020400781862626394,2.0400781862626394,2023-09-21 00:00:00.000 UTC
425513475.020811,380418320.1206452,45095154.9001658,425.51347502081103,380.4183201206452,45.095154900165795,0.03363691385222918,3.363691385222918,0.02052543947311646,2.052543947311646,2023-09-22 00:00:00.000 UTC
422736488.05703866,377787398.9380354,44949089.11900321,422.7364880570387,377.78739893803544,44.949089119003204,0.033921995102551276,3.3921995102551277,0.020670569059988656,2.0670569059988657,2023-09-23 00:00:00.000 UTC
419496443.7370718,374671167.5742032,44825276.16286863,419.4964437370718,374.6711675742032,44.825276162868626,0.03413050637885877,3.4130506378858767,0.020838233365723633,2.0838233365723635,2023-09-24 00:00:00.000 UTC
415238918.79380435,371200245.20140475,44038673.592399575,415.2389187938044,371.20024520140475,44.038673592399576,0.03438454966676296,3.4384549666762956,0.020874793519001626,2.0874793519001624,2023-09-25 00:00:00.000 UTC
412699481.0939758,369637116.7960266,43062364.297949225,412.6994810939758,369.6371167960266,43.06236429794922,0.03568449474050467,3.5684494740504666,0.021054860514645876,2.1054860514645877,2023-09-26 00:00:00.000 UTC
412079647.450377,368954795.4465906,43124852.003786415,412.07964745037697,368.9547954465906,43.124852003786415,0.038869952798858694,3.8869952798858693,0.017863335467700043,1.7863335467700043,2023-09-27 00:00:00.000 UTC
413583632.9690081,370483925.6243945,43099707.34461359,413.5836329690081,370.4839256243945,43.09970734461359,0.03944502229798126,3.9445022297981263,0.018126070610161877,1.8126070610161877,2023-09-28 00:00:00.000 UTC
415556233.67762685,372654211.4090891,42902022.26853777,415.55623367762684,372.6542114090891,42.90202226853777,0.040058982077052864,4.005898207705286,0.018406265021182755,1.8406265021182755,2023-09-29 00:00:00.000 UTC
415217998.93239224,372323958.06913465,42894040.86325758,415.2179989323922,372.3239580691347,42.89404086325758,0.03993599753278735,3.993599753278735,0.01854142229024968,1.854142229024968,2023-09-30 00:00:00.000 UTC
413709173.9466337,371202807.504137,42506366.44249675,413.7091739466337,371.20280750413696,42.50636644249675,0.04161924583251785,4.1619245832517855,0.018682744179722068,1.8682744179722068,2023-10-01 00:00:00.000 UTC
411299488.03053516,369263717.4542301,42035770.57630505,411.29948803053514,369.2637174542301,42.03577057630505,0.04255810454213491,4.255810454213491,0.01905860837024715,1.905860837024715,2023-10-02 00:00:00.000 UTC
403986618.54871225,362877493.5050713,41109125.043640986,403.9866185487123,362.8774935050713,41.10912504364099,0.04228180738009212,4.228180738009212,0.01883822616496953,1.8838226164969532,2023-10-03 00:00:00.000 UTC
401708582.25653195,360999750.36763626,40708831.88889571,401.70858225653194,360.99975036763624,40.708831888895716,0.051776060106259375,5.177606010625937,0.04047037574018702,4.0470375740187015,2023-10-04 00:00:00.000 UTC
400692362.8285407,360291305.54278547,40401057.285755225,400.6923628285407,360.29130554278544,40.40105728575522,0.054153889387795424,5.415388938779542,0.040290339425027855,4.029033942502785,2023-10-05 00:00:00.000 UTC
400418133.64633083,359907030.0583896,40511103.58794124,400.41813364633083,359.9070300583896,40.511103587941236,0.05664121957697241,5.66412195769724,0.040365443474522276,4.036544347452228,2023-10-06 00:00:00.000 UTC
400413261.3138093,359987465.09823817,40425796.215571105,400.4132613138093,359.98746509823815,40.425796215571104,0.057100085242032396,5.710008524203239,0.040505964301031226,4.0505964301031225,2023-10-07 00:00:00.000 UTC
