gmx_price,green_volume,red_volume,time,usd_volume
25.029868355196022,15768.817063773495,,2024-08-18 00:00:00.000 UTC,15768.817063773495
24.92025066704669,,17643.537472269058,2024-08-17 00:00:00.000 UTC,17643.537472269058
25.665388042580936,,51587.42996558768,2024-08-16 00:00:00.000 UTC,51587.42996558768
27.177073228619676,,52424.57425800736,2024-08-15 00:00:00.000 UTC,52424.57425800736
28.58390052286171,65457.13219735332,,2024-08-14 00:00:00.000 UTC,65457.13219735332
27.590899345476902,94112.55766742172,,2024-08-13 00:00:00.000 UTC,94112.55766742172
25.367523902971712,59131.69821782706,,2024-08-12 00:00:00.000 UTC,59131.69821782706
24.729293901614955,53662.56776650446,,2024-08-11 00:00:00.000 UTC,53662.56776650446
23.274992443073337,29512.690417816993,,2024-08-10 00:00:00.000 UTC,29512.690417816993
22.5755900540622,40410.30619677134,,2024-08-09 00:00:00.000 UTC,40410.30619677134
21.396713465636314,67613.61455141075,,2024-08-08 00:00:00.000 UTC,67613.61455141075
20.769653947674826,,31507.56503862271,2024-08-07 00:00:00.000 UTC,31507.56503862271
21.015432345762076,37554.57760187683,,2024-08-06 00:00:00.000 UTC,37554.57760187683
19.532185241240313,,45959.231872638455,2024-08-05 00:00:00.000 UTC,45959.231872638455
23.2372995883872,,32230.134529093044,2024-08-04 00:00:00.000 UTC,32230.134529093044
23.88765545566157,,24389.296220230462,2024-08-03 00:00:00.000 UTC,24389.296220230462
25.722387873204433,,53811.235430743676,2024-08-02 00:00:00.000 UTC,53811.235430743676
26.614489333652514,,64673.20908077561,2024-08-01 00:00:00.000 UTC,64673.20908077561
27.743205516243588,37675.27309105879,,2024-07-31 00:00:00.000 UTC,37675.27309105879
27.54401815258859,,20272.3973603052,2024-07-30 00:00:00.000 UTC,20272.3973603052
28.322342620233886,25801.65412703307,,2024-07-29 00:00:00.000 UTC,25801.65412703307
28.29136595016602,,16776.78000844845,2024-07-28 00:00:00.000 UTC,16776.78000844845
29.173486123194145,,24389.034398990305,2024-07-27 00:00:00.000 UTC,24389.034398990305
30.08358371967836,75810.63097358946,,2024-07-26 00:00:00.000 UTC,75810.63097358946
28.52732159648169,,48125.59153326461,2024-07-25 00:00:00.000 UTC,48125.59153326461
30.874632391229653,,51591.51072574475,2024-07-24 00:00:00.000 UTC,51591.51072574475
32.2301726228777,,81639.02725374923,2024-07-23 00:00:00.000 UTC,81639.02725374923
33.25935290269119,54844.672936537776,,2024-07-22 00:00:00.000 UTC,54844.672936537776
32.83484248108524,96271.75815454192,,2024-07-21 00:00:00.000 UTC,96271.75815454192
31.089501368169913,149882.48609594716,,2024-07-20 00:00:00.000 UTC,149882.48609594716
28.101268433781158,22902.533773531643,,2024-07-19 00:00:00.000 UTC,22902.533773531643
27.841229135292007,24138.34566029817,,2024-07-18 00:00:00.000 UTC,24138.34566029817
27.764341211574862,23210.989252876585,,2024-07-17 00:00:00.000 UTC,23210.989252876585
27.365217453309775,38694.41747898002,,2024-07-16 00:00:00.000 UTC,38694.41747898002
26.885721893555118,22073.177674608753,,2024-07-15 00:00:00.000 UTC,22073.177674608753
25.521647989803913,,27895.161252855676,2024-07-14 00:00:00.000 UTC,27895.161252855676
25.846254720491494,9614.806756022836,,2024-07-13 00:00:00.000 UTC,9614.806756022836
25.679145010667735,,19670.225078171487,2024-07-12 00:00:00.000 UTC,19670.225078171487
25.87541784923254,,19613.566729718266,2024-07-11 00:00:00.000 UTC,19613.566729718266
26.074632212481394,16609.540719350647,,2024-07-10 00:00:00.000 UTC,16609.540719350647
25.644894297582187,22259.76825030134,,2024-07-09 00:00:00.000 UTC,22259.76825030134
24.64463453710862,,39875.01868104174,2024-07-08 00:00:00.000 UTC,39875.01868104174
25.369412485976014,,38257.07402885183,2024-07-07 00:00:00.000 UTC,38257.07402885183
25.579563810731386,47245.45435842087,,2024-07-06 00:00:00.000 UTC,47245.45435842087
23.65252621416077,,63767.210673377434,2024-07-05 00:00:00.000 UTC,63767.210673377434
26.59310022130725,,40979.967441034474,2024-07-04 00:00:00.000 UTC,40979.967441034474
28.405494621578143,,39568.854007858354,2024-07-03 00:00:00.000 UTC,39568.854007858354
28.794310523235406,,36856.71746974132,2024-07-02 00:00:00.000 UTC,36856.71746974132
29.066459511328155,27148.073183580498,,2024-07-01 00:00:00.000 UTC,27148.073183580498
28.23345924165668,34840.08870420434,,2024-06-30 00:00:00.000 UTC,34840.08870420434
27.771869949844948,,36408.921504246726,2024-06-29 00:00:00.000 UTC,36408.921504246726
28.483242872618657,30021.337987740066,,2024-06-28 00:00:00.000 UTC,30021.337987740066
28.46066417229734,,18584.81370451016,2024-06-27 00:00:00.000 UTC,18584.81370451016
28.524746405847416,,27184.08332477259,2024-06-26 00:00:00.000 UTC,27184.08332477259
28.706542550521977,32524.5127097414,,2024-06-25 00:00:00.000 UTC,32524.5127097414
28.1212869105528,,96821.59083303329,2024-06-24 00:00:00.000 UTC,96821.59083303329
28.877847435153466,70837.35975843146,,2024-06-23 00:00:00.000 UTC,70837.35975843146
27.62405498731918,,17154.53814712521,2024-06-22 00:00:00.000 UTC,17154.53814712521
27.94065493463099,,41463.93192299239,2024-06-21 00:00:00.000 UTC,41463.93192299239
28.4981220099112,,41208.28442633159,2024-06-20 00:00:00.000 UTC,41208.28442633159
28.94437356984824,69205.99720550714,,2024-06-19 00:00:00.000 UTC,69205.99720550714
28.57736399122646,,83045.81975850409,2024-06-18 00:00:00.000 UTC,83045.81975850409
31.270920342417995,,56506.55305874932,2024-06-17 00:00:00.000 UTC,56506.55305874932
