cumu_qty_staked,day,gmx_apr,gmx_apr_times100,gmx_avg_apr,gmx_avg_apr_times100,gmx_cumu_income,gmx_income_usd,gmx_med_apr,gmx_med_apr_times100,ma30d,ma7d,net_qty_staked,staked_gmx_tvl
1868430.4325335184,2022-05-03 00:00:00.000 UTC,0.1540457347589328,15.40457347589328,0.4091768904604419,40.917689046044195,10740944.022401659,23067.775602689708,0.332407782379953,33.2407782379953,5546.520929791266,4552.86386079071,11820.400781668912,54657391.89830766
1888701.0206575918,2022-05-04 00:00:00.000 UTC,0.3027563504671026,30.27563504671026,0.40871013370608517,40.871013370608516,10787597.498456394,46653.47605473495,0.3301593809836427,33.015938098364266,5003.170762481005,7236.606411402549,20270.588124073307,56244959.795908794
1932951.4022783858,2022-05-05 00:00:00.000 UTC,0.6506672210940148,65.06672210940148,0.409766714873718,40.9766714873718,10899502.257314831,111904.75885843635,0.332407782379953,33.2407782379953,6124.085311843786,14479.068662263837,44250.38162079401,62774388.59552992
1944754.6676658913,2022-05-06 00:00:00.000 UTC,0.1317845863986071,13.17845863986071,0.4085580969238263,40.85580969238262,10921695.902543548,22193.645228716563,0.3301593809836427,33.015938098364266,6064.220386439397,14087.811901008967,11803.26538750561,61469104.467039295
1924432.7416444286,2022-05-07 00:00:00.000 UTC,0.22149476282728145,22.149476282728145,0.4077482989407243,40.77482989407243,10956429.092803529,34733.19025997927,0.3279109795873324,32.79109795873324,6286.523998488291,11790.865199139862,-20321.926021462863,57236632.97076807
1937696.7588802178,2022-05-08 00:00:00.000 UTC,0.5440267005526119,54.40267005526119,0.4083357058442238,40.833570584422375,11039529.222352168,83100.12954863998,0.3301593809836427,33.015938098364266,6492.842820233457,10889.340523873672,13264.017235789303,55753784.24338987
1960088.7401657477,2022-05-09 00:00:00.000 UTC,0.9576125881680719,95.7612588168072,0.41069311735634334,41.06931173563433,11181727.675390927,142198.45303875947,0.332407782379953,33.2407782379953,5322.3637807018185,14782.672630556914,22391.981285530026,54199825.69197152
1976534.380648528,2022-05-10 00:00:00.000 UTC,0.8414568061245374,84.14568061245375,0.4125339878211647,41.25339878211646,11310726.439873293,128998.76448236601,0.3346561837762633,33.46561837762633,6986.579230686827,15443.421159287118,16445.64048278035,55955990.48383593
1756050.56322823,2022-05-11 00:00:00.000 UTC,1.6412409473119645,164.12409473119644,0.4177625280743171,41.776252807431696,11530858.00231527,220131.56244197747,0.33690458517257366,33.69045851725736,1873.0018820593348,-18950.06534705163,-220483.81742029794,48955651.772469066
1748341.6136356175,2022-05-12 00:00:00.000 UTC,1.9505626483633576,195.05626483633577,0.42425744383825365,42.425744383825354,11723669.540713001,192811.53839773158,0.337837798682785,33.7837798682785,742.2350882572905,-26372.82694896685,-7708.949592612509,36079954.45530653
1789599.53729923,2022-05-13 00:00:00.000 UTC,0.2816614079549929,28.166140795499288,0.4236557728007716,42.36557728007715,11756067.152139578,32397.611426576557,0.33690458517257366,33.69045851725736,10.8097451140003,-22165.018623808744,41257.923663612346,41983487.39558242
1802185.378272843,2022-05-14 00:00:00.000 UTC,0.17168662892526515,17.168662892526516,0.42259707891894177,42.25970789189416,11774595.996202014,18528.844062436565,0.3346561837762633,33.46561837762633,447.4334932677402,-17463.909053083607,12585.840973613093,39391699.43008945
1785970.7645017642,2022-05-15 00:00:00.000 UTC,0.18524902426152867,18.524902426152867,0.42160399082414085,42.16039908241407,11794692.706483314,20096.710281299205,0.332407782379953,33.2407782379953,-853.3321680966801,-21675.142054064774,-16214.61377107886,39596965.66238572
1784956.2431257507,2022-05-16 00:00:00.000 UTC,0.5290522782493022,52.90522782493022,0.42205169202174564,42.20516920217456,11850437.596931258,55744.89044794352,0.3346561837762633,33.46561837762633,-1048.4129221354858,-25018.92814857099,-1014.5213760134902,38459119.92068096
1792648.9004949757,2022-05-17 00:00:00.000 UTC,0.3243675042554532,32.43675042554532,0.4216463634418025,42.164636344180245,11884919.531287767,34481.934356508784,0.3331180048473423,33.31180048473422,-247.38511256336037,-26269.3543076503,7692.657369225162,38801377.68120499
1781240.1371150794,2022-05-18 00:00:00.000 UTC,0.4653242424694701,46.53242424694701,0.4218268505452226,42.18268505452226,11933643.094784154,48723.56349638717,0.33501129500995797,33.501129500995795,-1955.232488596092,3598.510555264225,-11408.763379896256,38218728.04606378
1782043.5549272315,2022-05-19 00:00:00.000 UTC,0.5572772213047557,55.72772213047556,0.4223842594783894,42.23842594783894,11987204.590691721,53561.49590756698,0.33690458517257366,33.69045851725736,-1675.0346471207329,4814.563041659179,803.4178121521691,35081186.27294612
1785743.0264616052,2022-05-20 00:00:00.000 UTC,0.4064707298775061,40.64707298775061,0.4223190400947793,42.23190400947792,12026930.867810795,39726.277119074504,0.337837798682785,33.7837798682785,-619.8906532964301,-550.930119660631,3699.4715343736752,35673149.584059685
1805669.098424787,2022-05-21 00:00:00.000 UTC,0.1187419604311217,11.87419604311217,0.4210799499737031,42.10799499737031,12038238.723307397,11307.855496601269,0.33690458517257366,33.69045851725736,-285.4046900567931,497.67430742058735,19926.07196318162,34759130.14467715
1828350.8919409395,2022-05-22 00:00:00.000 UTC,0.2734147566468872,27.34147566468872,0.42047968496017946,42.047968496017944,12066025.594401492,27786.87109409436,0.33501129500995797,33.501129500995795,-305.4947410869497,6054.303919882206,22681.793516152466,37094588.72566639
