cir_supply,daily_change,fdv,market_cap,market_cap_raw,time,total_supply,weekly_change
8853269.668448009,0.017700166755795662,741.2028094059175,495.25044156089507,495250441.5608951,2023-07-06 00:00:00.000 UTC,13250000,0.1840564969794493
8851702.902273579,0.01719647624299662,750.1317898013783,501.12782949981397,501127829.499814,2023-07-05 00:00:00.000 UTC,13250000,0.18291129910553233
8850180.983003374,0.03990090677755837,768.5997043531428,513.3770933591094,513377093.3591094,2023-07-04 00:00:00.000 UTC,13250000,0.1971029595443839
8846651.088999417,0.020326526798670596,758.9904539857728,506.75650764478473,506756507.64478475,2023-07-03 00:00:00.000 UTC,13250000,0.18376496524622052
8844853.237535786,0.01808912995788685,744.2297826025276,496.8002416696242,496800241.6696242,2023-07-02 00:00:00.000 UTC,13250000,0.1815034272557023
8843253.56990502,0.037397839728206844,743.3503618430336,496.1234521553658,496123452.15536577,2023-07-01 00:00:00.000 UTC,13250000,0.19802244677266279
8839947.620461863,0.03330351439990753,717.0931464678702,478.4200644353327,478420064.43533266,2023-06-30 00:00:00.000 UTC,13250000,0.3013509577398343
8837004.587366588,0.01655687049100039,696.782404710826,464.714664666105,464714664.66610503,2023-06-29 00:00:00.000 UTC,13250000,0.3001714229650641
8835541.698170444,0.031364661934855376,705.1971407649684,470.2489617101472,470248961.7101472,2023-06-28 00:00:00.000 UTC,13250000,0.34128609661174314
8832771.32930353,0.026583838833765836,719.3365248462162,479.52717228547124,479527172.28547126,2023-06-27 00:00:00.000 UTC,13250000,0.3630309291737264
8830423.863655277,0.018068678250626295,715.3957492400095,476.7734110223793,476773411.02237934,2023-06-26 00:00:00.000 UTC,13250000,0.37229485510479293
8828828.611020252,0.03458120394224837,720.6008867600406,480.1556019738574,480155601.9738574,2023-06-25 00:00:00.000 UTC,13250000,0.3740481087738509
8825776.551231584,0.14056070769100262,708.2188790506992,471.7420057256738,471742005.7256738,2023-06-24 00:00:00.000 UTC,13250000,0.3553630430239332
8813388.390138848,0.03212713183871858,721.8134091056999,480.12240903084665,480122409.03084666,2023-06-23 00:00:00.000 UTC,13250000,0.2429884090608365
8810557.810615305,0.057555285913979654,729.0941126744066,484.80949653563226,484809496.53563225,2023-06-22 00:00:00.000 UTC,13250000,0.22605119993814615
8805489.785792965,0.05304233181668396,700.6235119094738,465.61005115511455,465610051.15511453,2023-06-21 00:00:00.000 UTC,13250000,0.2042671807149233
