"Time","Osmo_Bonded_Ratio{instance=""localhost:8000"", job=""osmo_price"", v=""osmo_amount_bonded_ratio""}"
2023-10-26 00:00:00,50.6%
2023-10-27 00:00:00,50.6%
2023-10-29 00:00:00,50.6%
2023-10-29 23:00:00,50.7%
2023-10-30 23:00:00,50.2%
2023-10-31 23:00:00,50.1%
2023-11-01 23:00:00,50.4%
2023-11-02 23:00:00,50.4%
2023-11-03 23:00:00,51.6%
2023-11-04 23:00:00,51.6%
2023-11-05 23:00:00,51.6%
2023-11-06 23:00:00,51.4%
2023-11-07 23:00:00,51.5%
2023-11-08 23:00:00,51.4%
2023-11-09 23:00:00,51.4%
2023-11-10 23:00:00,51.5%
2023-11-11 23:00:00,51.4%
2023-11-12 23:00:00,51.3%
2023-11-13 23:00:00,51.1%
2023-11-14 23:00:00,51.2%
2023-11-15 23:00:00,51.3%
2023-11-16 23:00:00,51.6%
2023-11-17 23:00:00,51.7%
2023-11-18 23:00:00,51.7%
2023-11-19 23:00:00,51.7%
2023-11-20 23:00:00,51.8%
2023-11-21 23:00:00,51.8%
2023-11-22 23:00:00,51.9%
2023-11-23 23:00:00,51.9%
2023-11-24 23:00:00,52.5%
2023-11-26 23:00:00,52.6%
2023-11-27 23:00:00,52.6%
2023-11-28 23:00:00,52.5%
2023-11-29 23:00:00,53.0%
2023-11-30 23:00:00,52.8%
2023-12-01 23:00:00,53.1%
2023-12-02 23:00:00,53.2%
2023-12-03 23:00:00,53.2%
2023-12-04 23:00:00,53.2%
2023-12-05 23:00:00,53.2%
2023-12-06 23:00:00,53.2%
2023-12-07 23:00:00,53.2%
2023-12-08 23:00:00,53.3%
2023-12-09 23:00:00,53.3%
2023-12-10 23:00:00,53.1%
2023-12-11 23:00:00,53.1%
2023-12-12 23:00:00,53.0%
2023-12-13 23:00:00,53.1%
2023-12-14 23:00:00,52.9%
2023-12-15 23:00:00,52.9%
2023-12-16 23:00:00,52.8%
2023-12-17 23:00:00,52.9%
2024-02-27 23:00:00,56.3%
2024-02-28 23:00:00,56.2%
2024-02-29 23:00:00,55.3%
2024-03-01 23:00:00,55.3%
2024-03-02 23:00:00,55.2%
2024-03-03 23:00:00,55.2%
2024-03-04 23:00:00,55.2%
2024-03-05 23:00:00,55.2%
2024-03-06 23:00:00,55.2%
2024-03-07 23:00:00,55.2%
2024-03-08 23:00:00,55.3%
2024-03-09 23:00:00,55.3%
2024-03-10 23:00:00,55.3%
2024-03-11 23:00:00,55.3%
2024-03-12 23:00:00,55.3%
2024-03-13 23:00:00,55.3%
2024-03-14 23:00:00,55.1%
2024-03-15 23:00:00,55.2%
2024-03-16 23:00:00,55.2%
2024-03-17 23:00:00,55.1%
2024-03-18 23:00:00,55.7%
2024-03-19 23:00:00,55.8%
2024-03-20 23:00:00,55.8%
2024-03-21 23:00:00,55.8%
2024-03-22 23:00:00,55.7%
2024-03-23 23:00:00,55.7%
2024-03-24 23:00:00,55.7%
2024-03-25 23:00:00,55.6%
2024-03-26 23:00:00,55.7%
2024-03-27 23:00:00,55.7%
2024-03-28 23:00:00,55.7%
2024-03-29 23:00:00,55.7%
2024-03-30 23:00:00,55.7%
2024-04-01 00:00:00,55.8%
2024-04-02 00:00:00,55.8%
2024-04-03 00:00:00,55.8%
2024-04-04 00:00:00,55.9%
2024-04-05 00:00:00,55.7%
2024-04-06 00:00:00,55.8%
2024-04-07 00:00:00,55.7%
2024-04-08 00:00:00,55.7%
2024-04-09 00:00:00,55.7%
2024-04-10 00:00:00,55.8%
2024-04-11 00:00:00,55.8%
2024-04-12 00:00:00,55.8%
2024-04-13 00:00:00,55.8%
2024-04-14 00:00:00,55.9%
2024-04-15 00:00:00,55.9%
2024-04-16 00:00:00,55.9%
2024-04-17 00:00:00,55.9%
2024-04-18 00:00:00,55.9%
2024-04-19 00:00:00,55.9%
2024-04-20 00:00:00,55.9%
2024-04-21 00:00:00,55.9%
2024-04-22 00:00:00,55.9%
2024-04-23 00:00:00,55.9%
2024-04-24 00:00:00,55.9%
2024-04-25 00:00:00,55.9%
2024-04-26 00:00:00,55.9%
2024-04-27 00:00:00,55.9%
2024-04-28 00:00:00,55.8%
