"Time","{instance=""localhost:8000"", job=""osmo_price"", v=""osmo_apr""}"
2023-12-08 23:00:00,14.86%
2023-12-09 23:00:00,14.85%
2023-12-10 23:00:00,14.89%
2023-12-11 23:00:00,14.88%
2023-12-12 23:00:00,14.91%
2023-12-13 23:00:00,14.89%
2023-12-14 23:00:00,14.92%
2023-12-15 23:00:00,14.92%
2023-12-16 23:00:00,14.96%
2023-12-17 23:00:00,14.92%
2024-02-27 23:00:00,13.74%
2024-02-28 23:00:00,13.75%
2024-02-29 23:00:00,13.97%
2024-03-01 23:00:00,13.98%
2024-03-02 23:00:00,13.98%
2024-03-03 23:00:00,13.99%
2024-03-04 23:00:00,13.99%
2024-03-05 23:00:00,13.98%
2024-03-06 23:00:00,13.98%
2024-03-07 23:00:00,13.98%
2024-03-08 23:00:00,13.96%
2024-03-09 23:00:00,13.95%
2024-03-10 23:00:00,13.94%
2024-03-11 23:00:00,13.94%
2024-03-12 23:00:00,13.94%
2024-03-13 23:00:00,13.93%
2024-03-14 23:00:00,13.97%
2024-03-15 23:00:00,13.94%
2024-03-16 23:00:00,13.95%
2024-03-17 23:00:00,13.97%
2024-03-18 23:00:00,13.80%
2024-03-19 23:00:00,13.77%
2024-03-20 23:00:00,13.77%
2024-03-21 23:00:00,13.78%
2024-03-22 23:00:00,13.78%
2024-03-23 23:00:00,13.79%
2024-03-24 23:00:00,13.79%
2024-03-25 23:00:00,13.80%
2024-03-26 23:00:00,13.78%
2024-03-27 23:00:00,13.76%
2024-03-28 23:00:00,13.76%
2024-03-29 23:00:00,13.77%
2024-03-30 23:00:00,13.76%
2024-04-01 00:00:00,13.74%
2024-04-02 00:00:00,13.73%
2024-04-03 00:00:00,13.74%
2024-04-04 00:00:00,13.71%
2024-04-05 00:00:00,13.73%
2024-04-06 00:00:00,13.72%
2024-04-07 00:00:00,13.72%
2024-04-08 00:00:00,13.74%
2024-04-09 00:00:00,13.73%
2024-04-10 00:00:00,13.71%
2024-04-11 00:00:00,13.70%
2024-04-12 00:00:00,13.69%
2024-04-13 00:00:00,13.68%
2024-04-14 00:00:00,13.67%
2024-04-15 00:00:00,13.65%
2024-04-16 00:00:00,13.65%
2024-04-17 00:00:00,13.65%
2024-04-18 00:00:00,13.65%
2024-04-19 00:00:00,13.64%
2024-04-20 00:00:00,13.64%
2024-04-21 00:00:00,13.63%
2024-04-22 00:00:00,13.62%
2024-04-23 00:00:00,13.62%
2024-04-24 00:00:00,13.62%
2024-04-25 00:00:00,13.61%
2024-04-26 00:00:00,13.61%
2024-04-27 00:00:00,13.60%
2024-04-28 00:00:00,13.62%
2024-04-29 00:00:00,13.62%
2024-04-30 00:00:00,13.61%
2024-05-01 00:00:00,13.60%
2024-05-02 00:00:00,13.76%
2024-05-03 00:00:00,13.74%
2024-05-04 00:00:00,13.74%
2024-05-05 00:00:00,13.74%
2024-05-06 00:00:00,13.74%
2024-05-07 00:00:00,13.71%
2024-05-08 00:00:00,13.73%
2024-05-09 00:00:00,13.72%
2024-05-10 00:00:00,13.69%
2024-05-11 00:00:00,13.69%
2024-05-12 00:00:00,13.69%
2024-05-13 00:00:00,13.71%
2024-05-14 00:00:00,13.69%
2024-05-15 00:00:00,13.68%
2024-05-16 00:00:00,13.67%
2024-05-17 00:00:00,13.67%
2024-05-18 00:00:00,13.65%
2024-05-19 00:00:00,13.64%
2024-05-20 00:00:00,13.63%
2024-05-21 00:00:00,13.62%
2024-05-22 00:00:00,13.63%
2024-05-23 00:00:00,13.64%
2024-05-24 00:00:00,14.37%
2024-05-25 00:00:00,14.43%
2024-05-26 00:00:00,14.43%
2024-05-27 00:00:00,14.44%
2024-05-28 00:00:00,14.44%
2024-05-29 00:00:00,14.43%
2024-05-30 00:00:00,14.44%
2024-05-31 00:00:00,14.47%
2024-06-01 00:00:00,14.47%
2024-06-02 00:00:00,14.47%
2024-06-03 00:00:00,14.47%
2024-06-04 00:00:00,14.48%
2024-06-05 00:00:00,14.49%
2024-06-06 00:00:00,14.49%
2024-06-07 00:00:00,14.49%
2024-06-08 00:00:00,14.48%
2024-06-09 00:00:00,14.46%
2024-06-10 00:00:00,14.47%
2024-06-11 00:00:00,14.44%
2024-06-12 00:00:00,13.66%
2024-06-13 00:00:00,13.65%
2024-06-14 00:00:00,13.67%
2024-06-15 00:00:00,13.66%
