date,bonded_percentage,apr,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circ_supply,token,bonded_tokens,has_liquid_staking,chain,inflation
2023-09-07,0.6819,0.205,0.229924924046,1.112177561798,-4.643692411502,-18.791323677821,6.889578391420303,66894589.35,2501834923.5104427,363133240.0,363133240.0,Cosmos,247632700.0,True,Atom,0.14300000000000002
2023-09-08,0.6822,0.205,-0.022597053318,0.700056631777,0.246469170239,-18.629411229115,6.9378093418509135,63076615.54,2520515562.377332,363301359.0,363301359.0,Cosmos,247830320.0,True,Atom,0.14300000000000002
2023-09-09,0.6820999999999999,0.205,-0.017097767747,-1.49899040146,2.544959088022,-19.948330528168,6.83381224574494,61200535.51,2483869944.0208135,363467689.0,363467689.0,Cosmos,247925660.0,True,Atom,0.14300000000000002
2023-09-10,0.6819,0.205,-0.11463051045,0.250485039756,0.330262467815,-18.530118387114,6.850929923065527,48431692.8,2491238848.002262,363635138.0,363635138.0,Cosmos,247950521.0,True,Atom,0.14300000000000002
2023-09-11,0.6818000000000001,0.205,-0.116135595498,-2.771614987282,-2.163695100001,-20.161519314595,6.661048522549641,86333784.06,2423314191.637772,363803714.0,363803714.0,Cosmos,248045238.0,True,Atom,0.14300000000000002
2023-09-12,0.6814,0.205,0.361041072193,-4.358301043527,-5.20599277719,-24.302737430453,6.370739975281495,112755466.71,2318749864.0216184,363968687.0,363968687.0,Cosmos,247993624.0,True,Atom,0.14300000000000002
2023-09-13,0.6809999999999999,0.205,-0.173996605867,0.166793828834,-6.346401327368,-23.790216351765,6.381365976411332,87203626.48,2323668413.0585866,364133388.0,364133388.0,Cosmos,247963776.0,True,Atom,0.14300000000000002
2023-09-14,0.6799,0.20600000000000002,-0.036406554906,2.54333007427,-5.020818333564,-23.104160070645,6.543665176438631,76270082.02,2383828791.5514016,364295655.0,364295655.0,Cosmos,247679260.0,True,Atom,0.14300000000000002
2023-09-15,0.6808,0.205,-0.584137634788,4.464717182914,-1.470032064333,-15.649167452081,6.835821319963428,78489682.91,2491404772.8722105,364463121.0,364463121.0,Cosmos,248118862.0,True,Atom,0.14300000000000002
2023-09-16,0.6815000000000001,0.205,-0.208228540243,1.321203108444,1.350990554986,-11.117810448266,6.926136403730463,67009818.44,2525497105.7219,364632886.0,364632886.0,Cosmos,248475552.0,True,Atom,0.142
2023-09-17,0.6814,0.205,-0.002575094153,3.201234721133,4.334132262169,-3.720939583916,7.147858287119716,57432732.07,2607542991.8562446,364800600.0,364800600.0,Cosmos,248578427.0,True,Atom,0.142
2023-09-18,0.6819,0.205,0.170904686189,-2.827193509225,4.274491892142,-8.342809424792,6.945774501577658,57158890.44,2534987949.607939,364968363.0,364968363.0,Cosmos,248867012.0,True,Atom,0.142
2023-09-19,0.6823,0.204,-0.138565057336,6.23670024118,15.825817178221,-4.257035716431,7.378961636669355,90710904.05,2694328786.4488044,365136576.0,365136576.0,Cosmos,249123799.0,True,Atom,0.142
