NEG_ONE,ONE,crv_cumm,crv_daily_release,crv_daily_release_avg,curve_price,cvxcrv_cumm,cvxcrv_depeg,cvxcrv_depeg_diff,cvxcrv_price,market_cap,other_cumm,sdcrv_cumm,sdcrv_depeg,sdcrv_depeg_diff,sdcrv_price,time,total_crv,ycrv_cumm,ycrv_depeg,ycrv_depeg_diff,ycrv_price
-1,1,752152555.700991,669364.2454797191,544136.135508069,1.1057400868055542,290010811.0327151,0.8712529837185188,-0.0015288495860947826,0.9633793498465131,1535465981.641581,288032554.5504257,24523506.531872395,,,,2023-02-23 00:00:00.000 UTC,1388631921.7000537,33912493.884049475,0.9943493360916387,-0.0008920782670645,1.0994919212050138
-1,1,751492880.069906,483684.084859274,522953.12549810595,1.1075015833333337,290005684.7124696,0.8727818333046136,0.006318339081312518,0.9666072622894293,1537170729.988324,288046158.7410784,24506615.602554344,,,,2023-02-22 00:00:00.000 UTC,1387962557.454574,33911218.32856569,0.9952414143587032,-0.0011710392394143065,1.1022314422011703
-1,1,751574613.6424073,449588.22631779447,514761.5910743358,1.205645944444445,290005637.60852575,0.866463494223301,-0.004450765705053428,1.0446481978194857,1672808276.6805441,287640359.4335717,24501876.62354921,,,,2023-02-21 00:00:00.000 UTC,1387478873.3697147,33756386.06166076,0.9964124535981175,0.0013952348383097224,1.201320633674509
-1,1,751123475.5061017,495112.93534509116,518699.35674631724,1.22869589236111,289992417.0267984,0.8709142599283545,0.010973363500098365,1.0700887737726852,1704237185.2402585,287730539.3840357,24501340.5675948,,,,2023-02-20 00:00:00.000 UTC,1387029285.1433969,33681512.65886631,0.9950172187598078,0.00015896129338421883,1.2225735695187518
-1,1,752422898.5353818,463418.7087273083,519965.4065447133,1.2363517673611129,289984043.10626173,0.8599408964282561,-0.002346300039414717,1.0631894471251742,1714243974.3160026,286407169.7692374,24501278.595425934,,,,2023-02-19 00:00:00.000 UTC,1386534172.208052,33218782.201745074,0.9948582574664235,-0.002221445846311232,1.2299947648924099
-1,1,752114166.7404183,530008.8663601758,523785.9856466093,1.20587759375,289834720.8127743,0.8622871964676708,-0.009129990549139655,1.0398128095978683,1671431664.997015,286484743.0763226,24498258.263463173,,,,2023-02-18 00:00:00.000 UTC,1386070753.4993248,33138864.606346224,0.9970797033127348,-0.0029202966872652336,1.2023560734077243
-1,1,751707976.6325649,508711.36789798876,522289.9750674839,1.1439186840277782,289828932.28042585,0.8714171870168105,0.00920590949567246,0.9968304018114581,1584945945.2674088,286565159.0488038,24497169.49109865,,,,2023-02-17 00:00:00.000 UTC,1385540744.6329646,32941507.18007128,1.0,0.0,1.1439186840277782
-1,1,751551733.0938519,753200.6490771875,542666.0980874804,1.1434253680555557,289827702.4093549,0.862211277521138,0.0035489391885840105,0.9858742473412582,1583680762.4048436,287818497.763204,24494380.088493206,,,,2023-02-16 00:00:00.000 UTC,1385032033.2650666,31339719.910162434,1.0,0.0014107434737651303,1.1434253680555557
-1,1,750828795.7650352,499900.16540001455,511975.56318995386,1.0944412881944443,289816819.5130901,0.858662338332554,0.0004212814106527851,0.9397555156887342,1515011908.788545,287869600.4406043,24481714.56954141,,,,2023-02-15 00:00:00.000 UTC,1384278832.6159892,31281902.327718396,0.9985892565262349,0.002299941882628609,1.092897312289705
-1,1,751340265.2456744,418151.8094691127,508790.2851066726,1.054792940972222,289806984.80737764,0.8582410569219012,-0.0017101673503588932,0.9052666084937605,1459600249.8149588,287054998.7609786,24478902.214335825,,,,2023-02-14 00:00:00.000 UTC,1383778932.4505892,31097781.4222229,0.9962893146436063,0.0028383240219767014,1.050878936252129
-1,1,750958119.4428931,481090.3516936462,513567.2718953295,0.9804433819444446,289806392.40056896,0.8599512242722601,0.023717977595039907,0.8431334866327602,1356306922.2210867,288023621.1214783,24478526.061285283,,,,2023-02-13 00:00:00.000 UTC,1383360780.6411202,30094121.614894506,0.9934509906216296,0.0014943620914765754,0.9740224490411292
-1,1,750538021.9207007,505241.33373225963,516988.86649077106,0.9590193506944444,289799432.25743407,0.8362332466772202,0.00326630480983936,0.801963865257495,1326208382.6699002,287974578.2442394,24478476.984724034,,,,2023-02-12 00:00:00.000 UTC,1382879690.2894266,30089180.882328372,0.991956628530153,0.001631701477893932,0.9513056018100375
-1,1,750184449.444581,493983.3415424762,513274.66851684067,0.9455415833333332,289650139.45379895,0.8329669418673809,-0.008107238051737409,0.7876048810776077,1307092525.225111,287972840.18851393,24477888.25632471,,,,2023-02-11 00:00:00.000 UTC,1382374448.9556942,30089131.61247572,0.990324927052259,0.0006909302574309439,0.9363933995394607
