index,date,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,price,volume_24h,market_cap,total_supply,circulating_supply,token,total_tokens,percentage_bonded
262,2023-09-03,0.079736037225,-5.176195780893,-2.823778816235,6.120828895095,2.027083051846171,53909437.89,316744242.06172633,1000000000.0,156256174.0,dYdX (ethDYDX),,
263,2023-09-04,-0.044613187461,0.557117334535,-7.925897155571,3.634730469482,2.0383762829134238,41781991.91,318508879.1403932,1000000000.0,156256174.0,dYdX (ethDYDX),,
264,2023-09-05,1.821610629202,1.842582455369,-3.158355527151,0.73602321699,2.0759350466767965,55151757.13,324377667.8662276,1000000000.0,156256174.0,dYdX (ethDYDX),,
265,2023-09-06,0.418107670543,1.814592671848,-2.868548806906,3.785380214181,2.11360481190612,43357047.31,330263801.25644,1000000000.0,156256174.0,dYdX (ethDYDX),,
266,2023-09-07,0.088004460508,-3.14884395192,-3.968036158151,-0.460297414499,2.0470506946189184,47661139.01,319864309.5251946,1000000000.0,156256174.0,dYdX (ethDYDX),,
267,2023-09-08,-0.415098435762,0.893449494149,-6.55927638997,-0.975128365286,2.065340058694966,41344846.6,322722135.5806109,1000000000.0,156256174.0,dYdX (ethDYDX),,
268,2023-09-09,-0.114250793137,-4.204088808814,-7.448305741178,-7.051533928659,1.9785113284234188,47532363.48,309154610.3951009,1000000000.0,156256174.0,dYdX (ethDYDX),,
269,2023-09-10,0.068207948981,0.623650216386,-1.78743210392,-9.089890409266,1.9908503186043474,24883972.66,311082653.7917963,1000000000.0,156256174.0,dYdX (ethDYDX),,
270,2023-09-11,-0.54401819874,-3.07636126954,-5.336193977378,-10.908041357082,1.9296045704682876,33694433.27,301512627.514288,1000000000.0,156256174.0,dYdX (ethDYDX),,
271,2023-09-12,0.190565837134,-3.384935738695,-10.195229916687,-16.291801701591,1.864288695747013,35182405.34,291306618.82887834,1000000000.0,156256174.0,dYdX (ethDYDX),,
272,2023-09-13,-0.36319645406,1.418335217623,-10.544745724163,-14.517713056041,1.89073055887695,28609229.26,295438323.194994,1000000000.0,156256174.0,dYdX (ethDYDX),,
273,2023-09-14,-0.106758609317,2.257735913004,-5.551031696224,-11.611704504719,1.9334182617228577,24256377.83,302108540.3185444,1000000000.0,156256174.0,dYdX (ethDYDX),,
274,2023-09-15,-0.858321289056,0.062690581984,-6.328726606612,-9.831138213482,1.9346303328833219,18187378.13,302297933.9206943,1000000000.0,156256174.0,dYdX (ethDYDX),,
275,2023-09-16,-0.353453848106,1.696173948967,-0.559324562156,-1.482336447514,1.9674450285985001,21333080.93,307425432.7241222,1000000000.0,156256174.0,dYdX (ethDYDX),,
276,2023-09-17,0.067406423506,1.79306825772,0.596345299247,6.004520915338,2.002722660894395,21448985.77,312937780.5744576,1000000000.0,156256174.0,dYdX (ethDYDX),,
277,2023-09-18,0.208659648843,-3.949313512337,-0.309685534885,-2.183855048653,1.9236288642330626,36847348.88,300578886.5210238,1000000000.0,156256174.0,dYdX (ethDYDX),,
278,2023-09-19,-0.74144401827,0.897542461494,4.109103623213,-1.461901102201,1.9408942500911035,27698966.56,303276709.657835,1000000000.0,156256174.0,dYdX (ethDYDX),,
279,2023-09-20,0.124782171356,2.076757284875,4.78499453663,3.136398239766,1.9812019128215992,22513870.48,309575030.8189846,1000000000.0,156256174.0,dYdX (ethDYDX),,
280,2023-09-21,0.113180873815,1.298675693083,3.802231530902,3.72578440048,2.0069313004943,25046197.63,313595406.4960836,1000000000.0,156256174.0,dYdX (ethDYDX),,
281,2023-09-22,-0.429872704029,-2.100904065997,1.557779065327,0.500917171955,1.9647675992004539,42656272.53,307007067.85022837,1000000000.0,156256174.0,dYdX (ethDYDX),,
282,2023-09-23,0.249600207168,-2.361577035266,-2.494449862829,-10.792517758081,1.9183680987813865,28964840.4,352529916.97907716,1000000000.0,183765523.0,dYdX (ethDYDX),,
283,2023-09-24,0.655805661601,-0.758242231234,-4.938299302227,-12.415834636763,1.9038222217058973,16158936.79,349856886.2708062,1000000000.0,183765523.0,dYdX (ethDYDX),,
284,2023-09-25,-1.208142983783,-1.702346844778,-2.714468524539,-13.6591424818,1.8714125641845005,18958066.19,343901108.6061358,1000000000.0,183765523.0,dYdX (ethDYDX),,
285,2023-09-26,-0.03354655946,2.239217503509,-1.420823839589,-8.277576284236,1.913317561884591,16816563.52,351601802.4248067,1000000000.0,183765523.0,dYdX (ethDYDX),,
286,2023-09-27,0.55493928356,-1.914422220756,-5.275248666932,-15.229381708994,1.8766885853262412,15835436.53,344870659.3906068,1000000000.0,183765523.0,dYdX (ethDYDX),,
