CRV,date,veCRV,veCRV_Percent
69134987.7948286,2020-10-01,15046692.526491437,17.874070069709305
69134987.7948286,2020-10-01,15046692.526491437,17.874070069709305
71463855.01985876,2020-10-02,15366675.679517165,17.697318622547133
71463855.01985876,2020-10-02,15366675.679517165,17.697318622547133
71463855.01985876,2020-10-02,15366675.679517165,17.697318622547133
71463855.01985876,2020-10-02,15366675.679517165,17.697318622547133
71775802.31596927,2020-10-03,16067155.78552753,18.290772684320327
71775802.31596927,2020-10-03,16067155.78552753,18.290772684320327
71775802.31596927,2020-10-03,16067155.78552753,18.290772684320327
71775802.31596927,2020-10-03,16067155.78552753,18.290772684320327
73274576.08618936,2020-10-04,16485584.83823365,18.3662603413939
73274576.08618936,2020-10-04,16485584.83823365,18.3662603413939
73274576.08618936,2020-10-04,16485584.83823365,18.3662603413939
73274576.08618936,2020-10-04,16485584.83823365,18.3662603413939
73995040.3444968,2020-10-05,17172894.38506194,18.83655085091457
73995040.3444968,2020-10-05,17172894.38506194,18.83655085091457
73995040.3444968,2020-10-05,17172894.38506194,18.83655085091457
73995040.3444968,2020-10-05,17172894.38506194,18.83655085091457
77659455.41004238,2020-10-06,17428024.526669893,18.328411414698888
77659455.41004238,2020-10-06,17428024.526669893,18.328411414698888
77659455.41004238,2020-10-06,17428024.526669893,18.328411414698888
78574436.86302829,2020-10-07,17844651.266976424,18.507384391476457
78574436.86302829,2020-10-07,17844651.266976424,18.507384391476457
78574436.86302829,2020-10-07,17844651.266976424,18.507384391476457
79357035.4814687,2020-10-08,18316205.97928141,18.752532121749795
79357035.4814687,2020-10-08,18316205.97928141,18.752532121749795
79357035.4814687,2020-10-08,18316205.97928141,18.752532121749795
79357035.4814687,2020-10-08,18316205.97928141,18.752532121749795
81753687.58810958,2020-10-09,18561954.66287497,18.503549642272056
81753687.58810958,2020-10-09,18561954.66287497,18.503549642272056
81753687.58810958,2020-10-09,18561954.66287497,18.503549642272056
81753687.58810958,2020-10-09,18561954.66287497,18.503549642272056
82400602.56189042,2020-10-10,18848295.41674808,18.615803029011428
82400602.56189042,2020-10-10,18848295.41674808,18.615803029011428
82400602.56189042,2020-10-10,18848295.41674808,18.615803029011428
82400602.56189042,2020-10-10,18848295.41674808,18.615803029011428
83025320.37855007,2020-10-11,19224966.086459644,18.801870147364788
83025320.37855007,2020-10-11,19224966.086459644,18.801870147364788
83025320.37855007,2020-10-11,19224966.086459644,18.801870147364788
83025320.37855007,2020-10-11,19224966.086459644,18.801870147364788
84135626.22658128,2020-10-12,19338453.014591053,18.689176223078945
84135626.22658128,2020-10-12,19338453.014591053,18.689176223078945
84135626.22658128,2020-10-12,19338453.014591053,18.689176223078945
84135626.22658128,2020-10-12,19338453.014591053,18.689176223078945
86985401.12727155,2020-10-13,19638084.733459745,18.418160478368222
86985401.12727155,2020-10-13,19638084.733459745,18.418160478368222
86985401.12727155,2020-10-13,19638084.733459745,18.418160478368222
86985401.12727155,2020-10-13,19638084.733459745,18.418160478368222
87981238.79876016,2020-10-14,19955879.322299894,18.488430736049285
87981238.79876016,2020-10-14,19955879.322299894,18.488430736049285
87981238.79876016,2020-10-14,19955879.322299894,18.488430736049285
89879840.94359419,2020-10-15,20374878.99147366,18.479824721765205
89879840.94359419,2020-10-15,20374878.99147366,18.479824721765205
89879840.94359419,2020-10-15,20374878.99147366,18.479824721765205
89879840.94359419,2020-10-15,20374878.99147366,18.479824721765205
93901783.85467461,2020-10-16,19388410.139095318,17.11393498025215
93901783.85467461,2020-10-16,19388410.139095318,17.11393498025215
93901783.85467461,2020-10-16,19388410.139095318,17.11393498025215
93901783.85467461,2020-10-16,19388410.139095318,17.11393498025215
94148030.70154661,2020-10-17,20080552.916856892,17.57927156300806
94148030.70154661,2020-10-17,20080552.916856892,17.57927156300806
94148030.70154661,2020-10-17,20080552.916856892,17.57927156300806
94148030.70154661,2020-10-17,20080552.916856892,17.57927156300806
96603962.07571867,2020-10-18,20556300.641679134,17.54545454653253
96603962.07571867,2020-10-18,20556300.641679134,17.54545454653253
96603962.07571867,2020-10-18,20556300.641679134,17.54545454653253
96603962.07571867,2020-10-18,20556300.641679134,17.54545454653253
97385444.10386144,2020-10-19,20865375.632291347,17.645015636126008
97385444.10386144,2020-10-19,20865375.632291347,17.645015636126008
97385444.10386144,2020-10-19,20865375.632291347,17.645015636126008
97385444.10386144,2020-10-19,20865375.632291347,17.645015636126008
100777982.93776852,2020-10-20,21160233.656774692,17.353241869310406
100777982.93776852,2020-10-20,21160233.656774692,17.353241869310406
100777982.93776852,2020-10-20,21160233.656774692,17.353241869310406
100777982.93776852,2020-10-20,21160233.656774692,17.353241869310406
100661100.44693829,2020-10-21,22694741.27958128,18.397783973535365
100661100.44693829,2020-10-21,22694741.27958128,18.397783973535365
100661100.44693829,2020-10-21,22694741.27958128,18.397783973535365
100661100.44693829,2020-10-21,22694741.27958128,18.397783973535365
100462536.50473624,2020-10-22,25334825.19940611,20.13939311302095
100462536.50473624,2020-10-22,25334825.19940611,20.13939311302095
100462536.50473624,2020-10-22,25334825.19940611,20.13939311302095
100462536.50473624,2020-10-22,25334825.19940611,20.13939311302095
100966020.4253787,2020-10-23,26537678.796970535,20.813261857361802
100966020.4253787,2020-10-23,26537678.796970535,20.813261857361802
100966020.4253787,2020-10-23,26537678.796970535,20.813261857361802
100966020.4253787,2020-10-23,26537678.796970535,20.813261857361802
101317064.87522058,2020-10-24,27272620.903626386,21.20902678814441
101317064.87522058,2020-10-24,27272620.903626386,21.20902678814441
